chunck_size,wave_offset,moving_average_index,r_squared
7,9,7,FAILED
7,9,8,FAILED
7,9,9,FAILED
7,9,10,FAILED
7,9,11,FAILED
7,9,12,FAILED
7,9,13,FAILED
7,9,14,FAILED
7,9,15,FAILED
7,9,16,FAILED
7,9,17,FAILED
7,9,18,FAILED
7,9,19,FAILED
7,9,20,FAILED
7,10,3,FAILED
7,10,4,FAILED
7,10,5,FAILED
7,10,6,FAILED
7,10,7,FAILED
7,10,8,FAILED
7,10,9,FAILED
7,10,10,FAILED
7,10,11,FAILED
7,10,12,FAILED
7,10,13,FAILED
7,10,14,FAILED
7,10,15,FAILED
7,10,16,FAILED
7,10,17,FAILED
7,10,18,FAILED
7,10,19,FAILED
7,10,20,FAILED
7,11,3,FAILED
7,11,4,FAILED
7,11,5,FAILED
7,11,6,FAILED
7,11,7,FAILED
7,11,8,FAILED
7,11,9,FAILED
7,11,10,FAILED
7,11,11,FAILED
7,11,12,FAILED
7,11,13,FAILED
7,11,14,FAILED
7,11,15,FAILED
7,11,16,FAILED
7,11,17,FAILED
7,11,18,FAILED
7,11,19,FAILED
7,11,20,FAILED
7,12,3,0.9175
7,12,4,0.9175
7,12,5,0.9175
7,12,6,0.9175
7,12,7,0.9175
7,12,8,0.9175
7,12,9,0.9175
7,12,10,0.9175
7,12,11,0.9224
7,12,12,0.9251
7,12,13,0.9989
7,12,14,0.9989
7,12,15,0.9989
7,12,16,0.9989
7,12,17,0.9988
7,12,18,0.9984
7,12,19,0.9985
7,12,20,0.9968
7,13,3,0.9175
7,13,4,0.9175
7,13,5,0.9175
7,13,6,0.9175
7,13,7,0.9175
7,13,8,0.9175
7,13,9,0.9175
7,13,10,0.9175
7,13,11,0.9224
7,13,12,0.9251
7,13,13,0.9989
7,13,14,0.9989
7,13,15,0.9989
7,13,16,0.9989
7,13,17,0.9988
7,13,18,0.9984
7,13,19,0.9985
7,13,20,0.9968
7,14,3,0.9175
7,14,4,0.9175
7,14,5,0.9175
7,14,6,0.9175
7,14,7,0.9175
7,14,8,0.9175
7,14,9,0.9175
7,14,10,0.9175
7,14,11,0.9224
7,14,12,0.9251
7,14,13,0.9989
7,14,14,0.9989
7,14,15,0.9989
7,14,16,0.9989
7,14,17,0.9988
7,14,18,0.9984
7,14,19,0.9985
7,14,20,0.9968
7,15,3,0.9175
7,15,4,0.9175
7,15,5,0.9175
7,15,6,0.9175
7,15,7,0.9175
7,15,8,0.9175
7,15,9,0.9175
7,15,10,0.9175
7,15,11,0.9224
7,15,12,0.9251
7,15,13,0.9989
7,15,14,0.9989
7,15,15,0.9989
7,15,16,0.9989
7,15,17,0.9988
7,15,18,0.9984
7,15,19,0.9985
7,15,20,0.9968
